2014-04-15,"bij de opdrachtgever, opdracht analyseren en opdracht evalueren"
2014-04-16,"planning en plan van aanpak"
2014-04-17,"Amanda code bestuderen"
2014-04-19,"Amanda code bestuderen"
2014-04-22,"Gesprek met tutor en nieuwe groepsleden"
2014-04-22,"planning en methode"
2014-04-23,"Github installeren en verkennen"
2014-04-24,"Afspraak met D.Bruin"
2014-04-24,"Functie / issue verdelen"
2014-04-25,"Compiler C tutorial volgen"
2014-04-28,"C tutorial volgen"
2014-04-29,"C tutorial volgen"
2014-05-03,"planning en plan van aanpak"
2014-05-03,"Amanda source code bekijken/ bewerken"
2014-05-05,"Documentatie / Planning"
2014-05-06,"Gesprek met tutor , Tussenverslag schrijven,functie/ takken verdelen"
2014-05-07,"Verslag schrijven en afspraak met D. Bruin"
2014-05-07,"Verslag samenvoegen / competentietest"
2014-05-08,"Logboek bijwerken"
2014-05-09,"groep gesprek / computer RP"
2014-05-09,"verslag / Logboek verwerken"
2014-05-13,"groep gesprek met tutor"
2014-05-13,"amanda Xcode/gcc installeren"
2014-05-14,"amanda executabele verwerken"
2014-05-15,"amanda executabele verwerken / afspraak D. Bruin"
